feature_name,feature_type,correlation_with_target
eval_number_E_1027,bool,
eval_number_E_1028,bool,
eval_number_E_1029,bool,
eval_number_E_103,bool,
eval_number_E_1030,bool,
eval_number_E_1032,bool,
eval_number_E_1033,bool,
eval_number_E_1034,bool,
eval_number_E_1035,bool,
eval_number_E_1036,bool,
eval_number_E_1037,bool,
eval_number_E_1038,bool,
eval_number_E_1039,bool,
eval_number_E_104,bool,
eval_number_E_1040,bool,
eval_number_E_1042,bool,
eval_number_E_1043,bool,
eval_number_E_1044,bool,
eval_number_E_1045,bool,
eval_number_E_1046,bool,
eval_number_E_1047,bool,
eval_number_E_1048,bool,
eval_number_E_1049,bool,
eval_number_E_105,bool,
eval_number_E_1050,bool,
eval_number_E_1052,bool,
eval_number_E_1053,bool,
eval_number_E_1055,bool,
eval_number_E_1056,bool,
eval_number_E_106,bool,
eval_number_E_1060,bool,
eval_number_E_1061,bool,
eval_number_E_1062,bool,
eval_number_E_1066,bool,
eval_number_E_1068,bool,
eval_number_E_1069,bool,
eval_number_E_107,bool,
eval_number_E_1070,bool,
eval_number_E_1071,bool,
eval_number_E_1073,bool,
eval_number_E_1074,bool,
eval_number_E_1076,bool,
eval_number_E_1077,bool,
eval_number_E_1079,bool,
eval_number_E_1080,bool,
eval_number_E_1081,bool,
eval_number_E_1082,bool,
eval_number_E_1083,bool,
eval_number_E_1084,bool,
eval_number_E_1085,bool,
eval_number_E_1088,bool,
eval_number_E_1092,bool,
eval_number_E_1094,bool,
eval_number_E_1096,bool,
eval_number_E_1097,bool,
eval_number_E_1098,bool,
eval_number_E_1099,bool,
eval_number_E_11,bool,
eval_number_E_110,bool,
eval_number_E_1100,bool,
eval_number_E_1101,bool,
eval_number_E_1102,bool,
eval_number_E_1103,bool,
eval_number_E_1105,bool,
eval_number_E_1106,bool,
eval_number_E_1107,bool,
eval_number_E_1108,bool,
eval_number_E_1109,bool,
eval_number_E_1111,bool,
eval_number_E_1113,bool,
eval_number_E_1114,bool,
eval_number_E_1115,bool,
eval_number_E_1116,bool,
eval_number_E_1117,bool,
eval_number_E_1118,bool,
eval_number_E_1119,bool,
eval_number_E_112,bool,
eval_number_E_1120,bool,
eval_number_E_1121,bool,
eval_number_E_1124,bool,
eval_number_E_1125,bool,
eval_number_E_1126,bool,
eval_number_E_1127,bool,
eval_number_E_1128,bool,
eval_number_E_113,bool,
eval_number_E_1131,bool,
eval_number_E_1132,bool,
eval_number_E_1133,bool,
eval_number_E_1135,bool,
eval_number_E_1136,bool,
eval_number_E_1137,bool,
eval_number_E_1138,bool,
eval_number_E_1140,bool,
eval_number_E_1143,bool,
eval_number_E_1148,bool,
eval_number_E_1150,bool,
eval_number_E_1152,bool,
eval_number_E_1154,bool,
eval_number_E_1156,bool,
eval_number_E_1157,bool,
eval_number_E_1158,bool,
eval_number_E_116,bool,
eval_number_E_1160,bool,
eval_number_E_1161,bool,
eval_number_E_1162,bool,
eval_number_E_1163,bool,
eval_number_E_1164,bool,
eval_number_E_1165,bool,
eval_number_E_1166,bool,
eval_number_E_1167,bool,
eval_number_E_117,bool,
eval_number_E_1171,bool,
eval_number_E_1172,bool,
eval_number_E_1173,bool,
eval_number_E_1175,bool,
eval_number_E_1177,bool,
eval_number_E_1179,bool,
eval_number_E_118,bool,
eval_number_E_1180,bool,
eval_number_E_1182,bool,
eval_number_E_1184,bool,
eval_number_E_1185,bool,
eval_number_E_1188,bool,
eval_number_E_119,bool,
eval_number_E_1190,bool,
eval_number_E_1191,bool,
eval_number_E_1192,bool,
eval_number_E_1193,bool,
eval_number_E_1195,bool,
eval_number_E_1196,bool,
eval_number_E_1198,bool,
eval_number_E_12,bool,
eval_number_E_120,bool,
eval_number_E_1200,bool,
eval_number_E_1201,bool,
eval_number_E_1202,bool,
eval_number_E_1203,bool,
eval_number_E_1204,bool,
eval_number_E_1206,bool,
eval_number_E_1207,bool,
eval_number_E_121,bool,
eval_number_E_1210,bool,
eval_number_E_1211,bool,
eval_number_E_1212,bool,
eval_number_E_1215,bool,
eval_number_E_1216,bool,
eval_number_E_1217,bool,
eval_number_E_1218,bool,
eval_number_E_1219,bool,
eval_number_E_1220,bool,
eval_number_E_1221,bool,
eval_number_E_1224,bool,
eval_number_E_1225,bool,
eval_number_E_1226,bool,
eval_number_E_1228,bool,
eval_number_E_1231,bool,
eval_number_E_1233,bool,
eval_number_E_1234,bool,
eval_number_E_1235,bool,
eval_number_E_1237,bool,
eval_number_E_1238,bool,
